model_name,question_id,sup_ybar,sup_cbar,sup_answers,question,gold_answer,wrong_answer,closed_ybar,closed_cbar,closed_answers,closed_known,sup_worse_than_closed,sup_mostly_wrong,reader_answer,sup_reader_supports_gold,sup_reader_supports_wrong
/data/home/yixh/models/Qwen2.5-7B-Instruct,1000825,1.0,0.9999999881255771,Inger Christensen,Who is the author of It?,Inger Christensen,,0.0,0.9999547022256999,Stephen King,False,False,False,Inger Christensen,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1001104,1.0,0.9999999936553345,H. Rider Haggard,Who is the author of Maiwa's Revenge?,H. Rider Haggard,,0.0,0.998256916533111,D.J. MacHale || Marilyn Turk || Michael Williams || Murray Leinster,False,False,False,H. Rider Haggard,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1001325,1.0,0.9999999847495156,Peter Straub,Who is the author of Mystery?,Peter Straub,,0.0,1.9362213361383222e-07,"Edgar Allan Poe || The question is incomplete and does not specify which ""Mystery"" book or work is being referred to. Please provide more details || The question is incomplete and does not specify which ""Mystery"" work or book is being referred to. Please provide more details || The question is incomplete as it does not specify which ""Mystery"" book or work is being referred to. Please provide more details",False,False,False,Peter Straub,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1009429,0.0,0.9999952018328446,Sabre fencing,What sport does Alexandru Chiculiță play?,fencing,,0.0,0.9780059763058265,Football || Handball,False,False,True,Fencing,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1023414,1.0,0.9999996945253212,Tarusa,What is the capital of Tarussky District?,Tarusa,,0.0,0.00012684100521781236,Novy Urengoy || Yubileiny,False,False,False,Tarusa,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1026190,1.0,0.7304680303164491,Yalutorovsk,What is the capital of Yalutorovsky District?,Yalutorovsk,,0.6,0.19218709617813412,Yalta || Yalutorovsk || Yaroslavl,True,False,False,"The town of Yalutorovsk serves as the administrative center, but it is not part of the district administratively. Thus, Yalutorovsky District",1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1026740,1.0,0.9999999936553312,Eminem,Who is the author of The Way I Am?,Eminem,,0.0,0.20203329101534515,Jodi Picoult || Kathleen Krull || Lindi Ortilly || Sara Bareilles,False,False,False,Eminem,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1033301,0.0,0.9999999865539664,horror,What genre is Inside?,horror film,,0.0,0.0019265165973600072,Horror,False,False,True,horror,0,1
/data/home/yixh/models/Qwen2.5-7B-Instruct,1033941,0.0,0.11885445591650656,"The context does not provide information about the producer of Water || The context does not provide information about the producer of the film || The context does not provide information about the producer of the film ""Water.""",Who was the producer of Water?,Ian La Frenais,,0.0,8.931392197343665e-05,Alan Horn || Alan Mak || Ava Duvernay || James Cameron,False,False,True,Not specified in the given context,0,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1035611,1.0,0.9999999983920039,Lewis Gilbert,Who was the director of Stepping Out?,Lewis Gilbert,,0.0,0.7621001256342229,Bob Clark || Bob Fosse || Gene Kelly || Jerry London || Robert Aldrich,False,False,False,Lewis Gilbert,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1038215,0.0,0.9999614668228478,"Joe Halpin || Trevor Miller initially wrote the script || Trevor Miller initially wrote the script. Joe Halpin later rewrote it || Trevor Miller initially, then Joe Halpin with Steven Seagal",Who was the screenwriter for Into the Sun?,Steven Seagal,,0.0,0.5968729903270937,Ned Benson || Nikolaj Arcel,False,False,True,"Trevor Miller originally wrote the script, later rewritten by Joe Halpin",0,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1046070,1.0,0.999999997002293,Kunle Afolayan,Who was the director of October 1?,Kunle Afolayan,,0.0,0.7649098831890068,John Curran || John Dahl || John McNaughton,False,False,False,Kunle Afolayan,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,1046764,1.0,0.9999998556442666,politician,What is T. P. Poonatchi's occupation?,politician,,0.0,0.0009979849126047493,Actor || Actress,False,False,False,politician,1,0
/data/home/yixh/models/Qwen2.5-7B-Instruct,104978,1.0,0.9988340569063585,Brian Grazer,Who was the producer of Fear?,Brian Grazer,,0.0,0.08750037241539066,James Wan || James Wan and Leigh Whannell,False,False,False,Brian Grazer,1,0
